laser_wavelength_nm,numerical_aperture,spot_size_nm,track_pitch_nm,layer_count,layer_spacing_nm,isi_factor,crosstalk_factor,recording_material,thermal_conductivity_w_mk,activation_energy_ev,temperature_c,relative_humidity,prml_enabled,ctc_enabled,physics_snr_db,measured_snr_db,thermal_factor
780,0.4996542986860233,952.2583939560719,1518.959306205738,2,23952.752369197304,0.6269150135000995,0.32193622099539765,GST_HTL,0.5999749158180029,1.983699556786347,36.68543055695109,21.429345433755262,1,0,53.115077797624394,53.843049226311564,5.409717177789302e-33
650,0.5681824967207101,697.8391666206139,702.5150939666466,1,1000000.0,0.9933440186749144,0.9906917379046456,DYE_LTH,0.22958350559263474,0.9164916560792168,50.59264473611897,21.15950885216335,0,0,32.296740250824705,32.16137196607646,5.4045309527569475e-15
650,0.5590606434532821,709.2253848363296,754.0169035050376,1,1000000.0,0.9405961345687408,0.9143123399097617,MDISC,1.573410314598384,2.4299702033681605,54.015376929388985,46.039940157563436,0,1,46.34701036636279,47.52473492025249,3.6968132274680715e-38
650,0.5597672114006385,708.3301628330204,761.8131903390394,1,1000000.0,0.9297950886329275,0.8985561739511332,GST_HTL,0.9951769101112702,1.8137554084460874,65.4660201039391,30.702398528001353,1,0,43.05847740111308,45.62542117436759,1.0116793488654192e-27
650,0.5707941662868189,694.6462024644491,748.015718813887,1,1000000.0,0.9286518785540163,0.898760189409404,MDISC,1.5598033066958126,2.1975751180009073,66.33294328968971,68.18175966851368,0,1,47.018804607297554,48.52033509250226,2.3768467570311955e-33
405,0.8005280476596327,308.60879980689987,308.2930704268235,3,20351.29990040384,1.001024120910792,1.0,GST_HTL,1.0426960831582486,1.8563696899899051,60.109849037701984,15.964051494381666,1,1,34.465255791419665,33.8745531947959,8.44766659180741e-29
780,0.5015461428454835,948.6664523040398,1652.95548002499,2,26569.055200289185,0.5739213570892409,0.2444906883032091,GST_HTL,0.8584657285442726,1.846347623810052,63.155171293779674,59.86385014620463,0,0,53.15552921203754,51.22276901515682,2.143555442645241e-28
780,0.47912977877077273,993.0503614713421,1542.3287790054567,2,20743.90312130685,0.6438642493020801,0.33335181837915323,MDISC,1.8791310594128672,2.3608647605824364,31.799245987447787,30.485465820905915,0,1,54.34526048638813,53.90171569149845,9.613945612919101e-40
650,0.5525419126744096,717.5926222155048,693.5743449560073,1,1000000.0,1.0346297083134195,1.0,DYE_LTH,0.19430679432289802,1.003428276465881,65.37832369630465,29.943378331909997,0,1,31.36601357494813,32.548789942507995,1.152513443983798e-15
650,0.6124354048133793,647.4152161742202,715.8030284031854,1,1000000.0,0.9044600127195258,0.87216589687531,GST_HTL,0.7184404372168336,1.9666039791481467,64.16401294594341,35.94760168042192,0,0,45.63945463597945,45.53559621371985,4.141404617223764e-30
